time,facility
07/05/23 16:14:33 pm,Gregory Gym
07/12/23 15:27:02 pm,Gregory Gym
07/21/23 12:34:16 pm,Gregory Gym
07/31/23 18:19:57 pm,Gregory Gym
08/03/23 15:23:37 pm,Gregory Gym
08/12/23 17:37:08 pm,Gregory Gym
08/14/23 17:07:43 pm,Gregory Gym
08/17/23 16:00:33 pm,Gregory Gym
08/22/23 17:12:29 pm,Gregory Gym
08/24/23 15:02:34 pm,Gregory Gym
08/27/23 18:45:50 pm,Gregory Gym
08/28/23 15:16:22 pm,Gregory Gym
08/28/23 15:27:10 pm,Recreational Sports Center
08/29/23 13:20:05 pm,Gregory Gym
08/30/23 17:22:27 pm,Gregory Gym
08/30/23 17:31:20 pm,Recreational Sports Center
08/31/23 20:05:38 pm,Gregory Gym
09/03/23 17:02:31 pm,Recreational Sports Center
09/05/23 15:18:09 pm,Gregory Gym
09/06/23 13:22:21 pm,Recreational Sports Center
09/08/23 16:31:01 pm,Gregory Gym
09/11/23 15:41:38 pm,Gregory Gym
09/11/23 15:45:13 pm,Gregory Gym
09/11/23 15:47:10 pm,Gregory Gym
09/13/23 13:51:56 pm,Recreational Sports Center
09/14/23 13:00:44 pm,Recreational Sports Center
09/14/23 14:49:40 pm,Recreational Sports Center
09/15/23 12:49:16 pm,Gregory Gym
09/17/23 17:16:32 pm,Gregory Gym
09/19/23 15:48:19 pm,Gregory Gym
09/21/23 16:46:37 pm,Gregory Gym
09/25/23 17:48:42 pm,Gregory Gym
09/28/23 16:42:58 pm,Gregory Gym
09/29/23 17:51:52 pm,Wright-Whitaker Sports Complex
10/01/23 17:07:36 pm,Gregory Gym
10/01/23 17:19:01 pm,Gregory Gym
10/03/23 14:41:57 pm,Gregory Gym
10/06/23 16:18:39 pm,Gregory Gym
10/10/23 17:17:35 pm,Gregory Gym
10/12/23 16:16:53 pm,Gregory Gym
10/17/23 14:57:27 pm,Gregory Gym
10/19/23 16:44:00 pm,Wright-Whitaker Sports Complex
10/20/23 15:02:04 pm,Gregory Gym
10/24/23 17:01:38 pm,Gregory Gym
10/26/23 17:34:08 pm,Gregory Gym
10/27/23 16:54:14 pm,Wright-Whitaker Sports Complex
10/31/23 16:10:34 pm,Gregory Gym
11/03/23 17:46:21 pm,Wright-Whitaker Sports Complex
11/07/23 16:39:14 pm,Gregory Gym
11/14/23 16:11:35 pm,Gregory Gym
11/16/23 18:23:50 pm,Gregory Gym
11/19/23 18:26:05 pm,Gregory Gym
11/28/23 17:09:20 pm,Gregory Gym
11/30/23 19:33:56 pm,Gregory Gym
12/01/23 17:44:45 pm,Wright-Whitaker Sports Complex
12/07/23 17:09:06 pm,Gregory Gym
12/11/23 11:59:14 am,Gregory Gym
01/14/24 12:52:06 pm,Gregory Gym
01/17/24 17:05:50 pm,Gregory Gym
01/22/24 14:19:59 pm,Gregory Gym
01/22/24 14:30:04 pm,Recreational Sports Center
01/24/24 13:04:02 pm,Gregory Gym
01/27/24 15:58:27 pm,Whitaker Courts
01/29/24 12:45:10 pm,Gregory Gym
01/31/24 13:39:54 pm,Recreational Sports Center
02/01/24 13:05:37 pm,Gregory Gym
02/06/24 12:56:38 pm,Gregory Gym
02/07/24 12:51:33 pm,Gregory Gym
02/08/24 16:40:02 pm,Wright-Whitaker Sports Complex
02/09/24 13:42:35 pm,Whitaker Courts
02/12/24 12:48:38 pm,Gregory Gym
02/14/24 12:43:31 pm,Gregory Gym
02/16/24 18:03:25 pm,Wright-Whitaker Sports Complex
02/19/24 12:48:15 pm,Gregory Gym
02/22/24 12:50:12 pm,Gregory Gym
02/23/24 15:50:15 pm,Whitaker Courts
02/26/24 15:10:05 pm,Gregory Gym
02/27/24 18:04:04 pm,Wright-Whitaker Sports Complex
02/28/24 17:07:07 pm,Gregory Gym
03/01/24 18:16:27 pm,Wright-Whitaker Sports Complex
03/02/24 13:04:14 pm,Gregory Gym
03/05/24 17:29:36 pm,Gregory Gym
03/06/24 18:03:22 pm,Wright-Whitaker Sports Complex
03/07/24 13:06:35 pm,Gregory Gym
03/07/24 18:14:46 pm,Wright-Whitaker Sports Complex
03/08/24 17:52:23 pm,Wright-Whitaker Sports Complex
03/10/24 18:34:52 pm,Gregory Gym
03/14/24 17:13:46 pm,Gregory Gym
03/18/24 12:54:08 pm,Gregory Gym
03/20/24 12:44:56 pm,Gregory Gym
03/22/24 18:03:11 pm,Gregory Gym
03/25/24 12:18:58 pm,Gregory Gym
03/27/24 12:51:42 pm,Gregory Gym
03/27/24 18:16:58 pm,Wright-Whitaker Sports Complex
03/29/24 18:02:11 pm,Wright-Whitaker Sports Complex
04/01/24 17:29:36 pm,Gregory Gym
04/03/24 12:15:46 pm,Gregory Gym
04/05/24 15:51:47 pm,Whitaker Courts
04/06/24 12:59:07 pm,Gregory Gym
04/09/24 12:46:03 pm,Gregory Gym
04/11/24 17:02:14 pm,Gregory Gym
04/13/24 13:01:57 pm,Gregory Gym
04/15/24 12:48:02 pm,Gregory Gym
04/17/24 12:17:22 pm,Gregory Gym
